step,row,col
0,5,0
1,4,0
2,3,0
3,4,0
4,4,1
5,4,2
6,5,2
7,4,2
8,5,2
9,4,2
10,4,1
11,4,0
12,5,0
13,4,0
14,5,0
15,4,0
16,4,1
17,4,2
18,4,3
19,4,2
20,4,3
21,4,4
22,4,3
23,4,4
24,3,4
25,2,4
26,3,4
27,3,5
28,3,4
29,4,4
30,5,4
31,4,4
32,3,4
33,2,4
34,1,4
35,0,4
36,0,5
